model,code,crm,docs,integrate,marketing,reason,final 🏆,Cost,Speed
GPT-4o ☁️,90,95,100,90,82,75,89,1.21 €,1.50 rps
GPT-4 Turbo v5/2024-04-09 ☁️,86,99,98,93,88,45,85,2.45 €,0.84 rps
GPT-4 v1/0314 ☁️,90,88,98,52,88,50,78,7.04 €,1.31 rps
Claude 3.5 Sonnet ☁️,72,83,89,78,80,59,77,0.94 €,0.09 rps
GPT-4 v2/0613 ☁️,90,83,95,52,88,50,76,7.04 €,2.16 rps
GPT-4 Turbo v4/0125-preview ☁️,66,97,100,71,75,45,76,2.45 €,0.84 rps
GPT-4o Mini ☁️,63,87,80,52,100,67,75,0.04 €,1.46 rps
Claude 3 Opus ☁️,69,88,100,53,76,59,74,4.69 €,0.41 rps
Meta Llama3.1 405B Instruct🦙,81,93,92,55,75,46,74,2.39 €,1.16 rps
GPT-4 Turbo v3/1106-preview ☁️,66,75,98,52,88,62,73,2.46 €,0.68 rps
Mistral Large 123B v2/2407 ☁️,68,79,68,75,75,71,73,0.86 €,1.02 rps
Gemini Pro 1.5 0514 ☁️,73,96,75,100,25,62,72,2.01 €,0.92 rps
Meta Llama 3.1 70B Instruct f16🦙,74,89,90,55,75,46,72,1.79 €,0.90 rps
Gemini Pro 1.5 0409 ☁️,68,97,96,63,75,28,71,1.84 €,0.59 rps
GPT-3.5 v2/0613 ☁️,68,81,73,75,81,48,71,0.34 €,1.46 rps
GPT-3.5 v3/1106 ☁️,68,70,71,63,78,59,68,0.24 €,2.33 rps
Gemini Pro 1.0 ☁️,66,86,83,60,88,26,68,0.09 €,1.36 rps
GPT-3.5 v4/0125 ☁️,63,87,71,60,78,47,68,0.12 €,1.43 rps
Gemini 1.5 Flash 0514 ☁️,32,97,100,56,72,41,66,0.09 €,1.77 rps
Cohere Command R+ ☁️,63,80,76,49,70,59,66,0.83 €,1.90 rps
Qwen1.5 32B Chat f16 ⚠️,70,90,82,56,78,15,65,0.97 €,1.66 rps
GPT-3.5-instruct 0914 ☁️,47,92,69,60,88,32,65,0.35 €,2.15 rps
Mistral Nemo 12B v1/2407 ☁️,54,58,51,97,75,50,64,0.07 €,1.22 rps
Mistral 7B OpenChat-3.5 v3 0106 f16 ✅,68,87,67,52,88,23,64,0.32 €,3.39 rps
Meta Llama 3 8B Instruct f16🦙,79,62,68,49,80,42,64,0.32 €,3.33 rps
GPT-3.5 v1/0301 ☁️,55,82,69,67,82,24,63,0.35 €,4.12 rps
Gemma 7B OpenChat-3.5 v3 0106 f16 ✅,63,67,84,33,81,48,63,0.21 €,5.09 rps
Llama 3 8B OpenChat-3.6 20240522 f16 ✅,76,51,76,45,88,39,62,0.28 €,3.79 rps
Mistral 7B OpenChat-3.5 v1 f16 ✅,58,72,72,49,88,31,62,0.49 €,2.20 rps
Mistral 7B OpenChat-3.5 v2 1210 f16 ✅,63,73,72,45,88,28,61,0.32 €,3.40 rps
Starling 7B-alpha f16 ⚠️,58,66,67,52,88,36,61,0.58 €,1.85 rps
Yi 1.5 34B Chat f16 ⚠️,47,78,70,52,86,28,60,1.18 €,1.37 rps
Claude 3 Haiku ☁️,64,69,64,55,75,33,60,0.08 €,0.52 rps
Mixtral 8x22B API (Instruct) ☁️,53,62,62,94,75,7,59,0.17 €,3.12 rps
Meta Llama 3.1 8B Instruct f16🦙,57,74,62,52,74,34,59,0.45 €,2.41 rps
Codestral Mamba 7B v1 ✅,53,66,51,94,71,17,59,0.30 €,2.82 rps
Meta Llama 3.1 70B Instruct b8🦙,60,76,75,30,81,26,58,5.28 €,0.31 rps
Claude 3 Sonnet ☁️,72,41,74,52,78,30,58,0.95 €,0.85 rps
Qwen2 7B Instruct f32 ⚠️,50,81,81,39,66,29,58,0.46 €,2.36 rps
Mistral Large v1/2402 ☁️,37,49,70,75,84,25,57,2.14 €,2.11 rps
Anthropic Claude Instant v1.2 ☁️,58,75,65,59,65,14,56,2.10 €,1.49 rps
Anthropic Claude v2.0 ☁️,63,52,55,45,84,35,55,2.19 €,0.40 rps
Cohere Command R ☁️,45,66,57,55,84,26,55,0.13 €,2.50 rps
Qwen1.5 7B Chat f16 ⚠️,56,81,60,34,60,36,55,0.29 €,3.76 rps
Anthropic Claude v2.1 ☁️,29,58,59,60,75,33,52,2.25 €,0.35 rps
Mistral 7B OpenOrca f16 ☁️,54,57,76,21,78,26,52,0.41 €,2.65 rps
Qwen1.5 14B Chat f16 ⚠️,50,58,51,49,84,17,51,0.36 €,3.03 rps
Meta Llama 3 70B Instruct b8🦙,51,72,53,29,82,18,51,6.97 €,0.23 rps
Mistral 7B Instruct v0.1 f16 ☁️,34,71,69,44,62,21,50,0.75 €,1.43 rps
Llama2 13B Vicuna-1.5 f16🦙,50,37,53,39,82,38,50,0.99 €,1.09 rps
Google Recurrent Gemma 9B IT f16 ⚠️,58,27,71,45,56,25,47,0.89 €,1.21 rps
Codestral 22B v1 ✅,38,47,43,71,66,13,46,0.30 €,4.03 rps
Llama2 13B Hermes f16🦙,50,24,30,61,60,43,45,1.00 €,1.07 rps
Llama2 13B Hermes b8🦙,41,25,29,61,60,43,43,4.79 €,0.22 rps
Mistral Small v2/2402 ☁️,33,42,36,82,56,8,43,0.18 €,3.21 rps
Mistral Small v1/2312 (Mixtral) ☁️,10,67,65,51,56,8,43,0.19 €,2.21 rps
IBM Granite 34B Code Instruct f16 ☁️,63,49,30,44,57,5,41,1.07 €,1.51 rps
Mistral Medium v1/2312 ☁️,41,43,27,59,62,12,41,0.81 €,0.35 rps
Llama2 13B Puffin f16🦙,37,15,38,48,56,41,39,4.70 €,0.23 rps
Mistral Tiny v1/2312 (7B Instruct v0.2) ☁️,22,47,57,40,59,8,39,0.05 €,2.39 rps
Llama2 13B Puffin b8🦙,37,14,37,46,56,39,38,8.34 €,0.13 rps
Meta Llama2 13B chat f16🦙,22,38,17,45,75,8,34,0.75 €,1.44 rps
Meta Llama2 13B chat b8🦙,22,38,15,45,75,6,33,3.27 €,0.33 rps
Mistral 7B Zephyr-β f16 ✅,37,34,46,44,29,4,32,0.46 €,2.34 rps
Meta Llama2 7B chat f16🦙,22,33,20,42,50,20,31,0.56 €,1.93 rps
Mistral 7B Notus-v1 f16 ⚠️,10,54,25,41,48,4,30,0.75 €,1.43 rps
Orca 2 13B f16 ⚠️,18,22,32,22,67,19,30,0.95 €,1.14 rps
Mistral 7B Instruct v0.2 f16 ☁️,11,30,50,13,58,8,29,0.96 €,1.12 rps
Mistral 7B v0.1 f16 ☁️,0,9,42,42,52,12,26,0.87 €,1.23 rps
Google Gemma 2B IT f16 ⚠️,33,28,14,39,15,20,25,0.30 €,3.54 rps
Microsoft Phi 3 Medium 4K Instruct f16 ⚠️,5,34,30,13,47,8,23,0.82 €,1.32 rps
Orca 2 7B f16 ⚠️,22,0,24,18,52,4,20,0.78 €,1.38 rps
Google Gemma 7B IT f16 ⚠️,0,0,0,9,62,0,12,0.99 €,1.08 rps
Meta Llama2 7B f16🦙,0,5,18,3,28,2,9,0.95 €,1.13 rps
Yi 1.5 9B Chat f16 ⚠️,0,4,29,8,0,8,8,1.41 €,0.76 rps
